chrom,start,end,gene,mean_coverage,plate,batch,mixture,read_counts,normalized_mean_coverage,normalized_read_counts
MN908947.3,21563,25384,S,12903.88,07-12-23-V2A,PWRB: varskip,0adgio1-2,659763.0,19558.356561371278,8915.716216216217
MN908947.3,21563,25384,S,12728.74,07-12-23-V2A,PWRB: varskip,0aio1o2o3o4o5,711256.0,17896.144285601807,9611.567567567568
MN908947.3,21563,25384,S,15478.86,07-12-23-V2A,PWRB: varskip,0-4,678102.0,22826.74287938983,9163.54054054054
MN908947.3,21563,25384,S,14734.32,07-12-23-V2A,PWRB: varskip,a-2,694526.0,21214.92931870081,9385.486486486487
MN908947.3,21563,25384,S,14720.13,07-12-23-V2A,PWRB: varskip,g-2,667408.0,22055.669095965284,9019.027027027027
MN908947.3,21563,25384,S,13889.18,07-12-23-V2A,PWRB: varskip,i-2,642371.0,21621.741952859018,8680.68918918919
MN908947.3,21563,25384,S,16282.42,07-12-23-V2A,PWRB: varskip,d-2,741515.0,21958.31507117186,10020.472972972973
MN908947.3,21563,25384,S,12328.83,07-12-23-V2A,PWRB: varskip,o1-2,720699.0,17106.767180195893,9739.175675675675
MN908947.3,21563,25384,S,12395.33,07-12-23-V2A,PWRB: varskip,o2-3,695223.0,17829.28643039715,9394.905405405405
MN908947.3,21563,25384,S,11588.39,07-12-23-V2A,PWRB: varskip,o3-4,622205.0,18624.71371975474,8408.175675675675
